campaign_id,campaign_name,creator_id,creator_name,creator_specialty,campaign_date,category,impressions,likes,comments,shares,total_engagements,referral_id,traffic_source,click_timestamp,referral_clicks,customer_id,transaction_id,purchase_timestamp,purchases,new_customers,repeat_purchases,order_value,product,product_category
CAM016,Monsoon Sale,CR012,Kavya Iyer,Fashion,2026-01-21,Gaming,8191,245,28,28,301,REF00059,Facebook,2026-01-21 21:00:00,167,CUST3878,TXN00059,2026-01-25 00:00:00,12,11,1,54546.88,Gaming Headset,Gaming
CAM015,Festive Picks,CR004,Isha Verma,Beauty,2026-06-03,Travel,6936,220,18,19,257,REF00060,Instagram,2026-06-03 14:00:00,219,CUST6232,TXN00060,2026-06-09 00:00:00,11,10,1,19188.32,Protein Powder,Fitness
CAM010,Back to College,CR001,Aarav Mehta,Lifestyle,2026-02-16,Gaming,11267,422,61,42,525,REF00061,YouTube,2026-02-16 14:00:00,409,CUST8482,TXN00061,2026-02-19 00:00:00,22,19,3,42531.81,Protein Powder,Fitness
CAM028,Creator Spotlight,CR004,Isha Verma,Beauty,2026-05-05,Home,6507,265,28,25,318,REF00062,Instagram,2026-05-05 12:00:00,131,CUST7994,TXN00062,2026-05-10 00:00:00,7,5,2,29932.65,Gaming Headset,Gaming
CAM018,Product Launch,CR006,Meera Nair,Travel,2026-02-10,Beauty,6854,257,23,26,306,REF00063,Instagram,2026-02-10 17:00:00,187,CUST6315,TXN00063,2026-02-19 00:00:00,12,11,1,37121.36,Coffee Maker,Home
CAM031,Creator Spotlight,CR002,Ananya Sharma,Fashion,2026-03-15,Fitness,6220,333,47,42,422,REF00064,TikTok,2026-03-15 21:00:00,174,CUST9269,TXN00064,2026-03-19 00:00:00,9,5,4,46159.89,Smartwatch,Electronics
CAM037,Creator Spotlight,CR004,Isha Verma,Beauty,2026-01-05,Travel,5578,153,14,13,180,REF00065,YouTube,2026-01-05 10:00:00,133,CUST4980,TXN00065,2026-01-12 00:00:00,7,7,0,12309.45,Protein Powder,Fitness
CAM004,Festive Picks,CR012,Kavya Iyer,Fashion,2026-05-03,Food,5365,240,29,18,287,REF00066,Google,2026-05-03 16:00:00,168,CUST5193,TXN00066,2026-05-06 00:00:00,5,4,1,18713.93,Gaming Headset,Gaming
CAM055,Mega Savings,CR010,Diya Joshi,Lifestyle,2026-02-22,Beauty,8622,502,43,59,604,REF00067,Instagram,2026-02-22 01:00:00,240,CUST7316,TXN00067,2026-02-28 00:00:00,17,15,2,36854.82,Wireless Earbuds,Electronics
CAM050,Creator Spotlight,CR010,Diya Joshi,Lifestyle,2026-03-22,Fitness,9793,322,30,18,370,REF00068,Direct,2026-03-22 12:00:00,251,CUST2218,TXN00068,2026-03-31 00:00:00,13,9,4,52164.86,Sneakers,Fashion
CAM021,Weekend Flash,CR003,Rohan Kapoor,Tech,2026-06-28,Home,5780,163,19,12,194,REF00069,Email,2026-06-28 16:00:00,164,CUST6097,TXN00069,2026-07-04 00:00:00,17,14,3,47364.03,Travel Backpack,Travel
CAM003,Monsoon Sale,CR012,Kavya Iyer,Fashion,2026-04-09,Travel,4578,222,20,21,263,REF00070,TikTok,2026-04-09 07:00:00,161,CUST7961,TXN00070,2026-04-14 00:00:00,10,9,1,29818.8,Travel Backpack,Travel
CAM041,Product Launch,CR009,Arjun Rao,Finance,2026-06-02,Gaming,9294,471,40,26,537,REF00071,TikTok,2026-06-02 09:00:00,263,CUST4112,TXN00071,2026-06-06 00:00:00,7,6,1,41061.84,Smartwatch,Electronics
CAM022,Festive Picks,CR005,Vihaan Patel,Fitness,2026-01-19,Fitness,7956,472,59,22,553,REF00072,YouTube,2026-01-19 06:00:00,245,CUST2114,TXN00072,2026-01-20 00:00:00,10,9,1,18073.29,Protein Powder,Fitness
CAM010,Back to College,CR004,Isha Verma,Beauty,2026-04-07,Gaming,10845,433,43,49,525,REF00073,Email,2026-04-07 06:00:00,267,CUST4574,TXN00073,2026-04-12 00:00:00,26,24,2,28942.23,Travel Backpack,Travel
CAM051,Mega Savings,CR008,Sara Khan,Food,2026-01-31,Fitness,11301,398,41,29,468,REF00074,Google,2026-01-31 21:00:00,244,CUST3012,TXN00074,2026-02-07 00:00:00,20,19,1,24726.34,Skincare Kit,Beauty
CAM008,Back to College,CR012,Kavya Iyer,Fashion,2026-03-19,Electronics,8638,309,25,31,365,REF00075,Direct,2026-03-19 10:00:00,136,CUST2318,TXN00075,2026-03-28 00:00:00,2,2,0,6679.95,Smartwatch,Electronics
CAM057,Holiday Offers,CR004,Isha Verma,Beauty,2026-04-29,Home,14195,565,73,36,674,REF00076,Instagram,2026-04-29 03:00:00,292,CUST3144,TXN00076,2026-05-08 00:00:00,11,9,2,18580.51,Skincare Kit,Beauty
CAM050,Premium Picks,CR008,Sara Khan,Food,2026-02-15,Fitness,2525,68,8,8,84,REF00077,YouTube,2026-02-15 04:00:00,35,CUST1685,TXN00077,2026-02-18 00:00:00,1,1,0,2860.01,Coffee Maker,Home
CAM006,Mega Savings,CR011,Aditya Deshmukh,Tech,2026-04-21,Travel,5832,266,35,15,316,REF00078,Instagram,2026-04-21 17:00:00,136,CUST8240,TXN00078,2026-04-23 00:00:00,11,9,2,20285.95,Travel Backpack,Travel
CAM028,Product Launch,CR007,Kabir Singh,Gaming,2026-06-19,Electronics,7563,231,21,18,270,REF00079,Instagram,2026-06-19 15:00:00,193,CUST8448,TXN00079,2026-06-25 00:00:00,19,15,4,37642.97,Protein Powder,Fitness
CAM032,New Collection,CR003,Rohan Kapoor,Tech,2026-04-21,Travel,10666,596,72,71,739,REF00080,Google,2026-04-21 17:00:00,388,CUST8551,TXN00080,2026-04-23 00:00:00,29,26,3,71967.29,Protein Powder,Fitness
CAM028,Spring Refresh,CR003,Rohan Kapoor,Tech,2026-04-08,Travel,7791,426,61,34,521,REF00081,YouTube,2026-04-08 08:00:00,289,CUST2503,TXN00081,2026-04-16 00:00:00,5,5,0,10370.87,Travel Backpack,Travel
CAM053,Festive Picks,CR007,Kabir Singh,Gaming,2026-05-05,Fitness,4989,188,26,10,224,REF00082,TikTok,2026-05-05 04:00:00,162,CUST1121,TXN00082,2026-05-14 00:00:00,7,6,1,36217.64,Gaming Headset,Gaming
CAM058,Product Launch,CR001,Aarav Mehta,Lifestyle,2026-06-12,Fashion,3233,120,7,6,133,REF00083,Facebook,2026-06-12 07:00:00,88,CUST9589,TXN00083,2026-06-13 00:00:00,5,4,1,12361.43,Coffee Maker,Home
CAM036,Holiday Offers,CR004,Isha Verma,Beauty,2026-03-18,Fitness,6156,168,12,16,196,REF00084,YouTube,2026-03-18 10:00:00,141,CUST2934,TXN00084,2026-03-27 00:00:00,8,8,0,14650.23,Skincare Kit,Beauty
CAM055,Summer Launch,CR003,Rohan Kapoor,Tech,2026-03-15,Electronics,9684,537,83,30,650,REF00085,Instagram,2026-03-15 08:00:00,308,CUST4014,TXN00085,2026-03-19 00:00:00,20,18,2,111028.35,Smartwatch,Electronics
CAM039,Product Launch,CR009,Arjun Rao,Finance,2026-04-11,Electronics,5458,259,30,19,308,REF00086,TikTok,2026-04-11 16:00:00,184,CUST1154,TXN00086,2026-04-14 00:00:00,11,9,2,25976.31,Coffee Maker,Home
CAM006,New Collection,CR003,Rohan Kapoor,Tech,2026-02-11,Home,9403,614,46,40,700,REF00087,Google,2026-02-11 18:00:00,288,CUST8821,TXN00087,2026-02-20 00:00:00,16,15,1,57361.0,Gaming Headset,Gaming
CAM005,Weekend Flash,CR012,Kavya Iyer,Fashion,2026-01-06,Home,6148,209,32,17,258,REF00088,YouTube,2026-01-06 07:00:00,160,CUST4998,TXN00088,2026-01-09 00:00:00,4,4,0,17111.95,Wireless Earbuds,Electronics
CAM016,Mega Savings,CR001,Aarav Mehta,Lifestyle,2026-05-19,Gaming,6296,225,33,17,275,REF00089,Instagram,2026-05-19 11:00:00,112,CUST7254,TXN00089,2026-05-24 00:00:00,6,4,2,22501.31,Coffee Maker,Home
CAM017,New Collection,CR008,Sara Khan,Food,2026-04-08,Fitness,15211,627,55,34,716,REF00090,Instagram,2026-04-08 21:00:00,398,CUST4710,TXN00090,2026-04-14 00:00:00,13,11,2,24222.82,Wireless Earbuds,Electronics
CAM059,Festive Picks,CR002,Ananya Sharma,Fashion,2026-03-28,Gaming,4340,221,22,19,262,REF00091,Google,2026-03-28 05:00:00,124,CUST9684,TXN00091,2026-04-01 00:00:00,5,5,0,25761.53,Smartwatch,Electronics
CAM011,Premium Picks,CR012,Kavya Iyer,Fashion,2026-01-19,Electronics,17199,506,66,46,618,REF00092,YouTube,2026-01-19 15:00:00,290,CUST3203,TXN00092,2026-01-22 00:00:00,11,9,2,32115.38,Wireless Earbuds,Electronics
CAM047,Weekend Flash,CR005,Vihaan Patel,Fitness,2026-06-05,Travel,7312,284,34,38,356,REF00093,TikTok,2026-06-05 06:00:00,262,CUST1585,TXN00093,2026-06-07 00:00:00,7,5,2,22105.02,Protein Powder,Fitness
CAM042,Monsoon Sale,CR005,Vihaan Patel,Fitness,2026-03-20,Food,8261,413,47,46,506,REF00094,Email,2026-03-20 16:00:00,200,CUST1745,TXN00094,2026-03-24 00:00:00,8,6,2,18426.86,Travel Backpack,Travel
CAM034,Creator Spotlight,CR010,Diya Joshi,Lifestyle,2026-05-16,Electronics,13420,633,55,66,754,REF00095,Google,2026-05-16 10:00:00,470,CUST1620,TXN00095,2026-05-17 00:00:00,27,25,2,69068.95,Travel Backpack,Travel
CAM006,Summer Launch,CR004,Isha Verma,Beauty,2026-04-09,Beauty,5148,296,28,14,338,REF00096,Google,2026-04-09 10:00:00,141,CUST1310,TXN00096,2026-04-10 00:00:00,4,3,1,7611.85,Protein Powder,Fitness
CAM011,Back to College,CR006,Meera Nair,Travel,2026-05-04,Food,6574,252,28,21,301,REF00097,Direct,2026-05-04 05:00:00,177,CUST5880,TXN00097,2026-05-06 00:00:00,6,5,1,31332.48,Smartwatch,Electronics
CAM014,Mega Savings,CR008,Sara Khan,Food,2026-04-11,Beauty,6183,260,32,29,321,REF00098,Email,2026-04-11 23:00:00,165,CUST7419,TXN00098,2026-04-17 00:00:00,3,3,0,4068.67,Skincare Kit,Beauty
CAM010,Premium Picks,CR002,Ananya Sharma,Fashion,2026-04-03,Food,5631,261,37,20,318,REF00099,Email,2026-04-03 02:00:00,114,CUST1794,TXN00099,2026-04-07 00:00:00,8,7,1,37098.69,Gaming Headset,Gaming
CAM014,Back to College,CR012,Kavya Iyer,Fashion,2026-01-24,Fitness,5453,188,16,9,213,REF00100,Instagram,2026-01-24 22:00:00,114,CUST6393,TXN00100,2026-01-30 00:00:00,5,4,1,12324.45,Travel Backpack,Travel
CAM039,Spring Refresh,CR006,Meera Nair,Travel,2026-06-30,Beauty,6633,259,23,19,301,REF00101,Instagram,2026-06-30 11:00:00,190,CUST7923,TXN00101,2026-07-02 00:00:00,16,14,2,18356.14,Skincare Kit,Beauty
CAM037,Weekend Flash,CR001,Aarav Mehta,Lifestyle,2026-03-23,Gaming,6012,285,24,37,346,REF00102,TikTok,2026-03-23 17:00:00,170,CUST9301,TXN00102,2026-03-26 00:00:00,8,8,0,12212.74,Skincare Kit,Beauty
CAM060,Creator Spotlight,CR002,Ananya Sharma,Fashion,2026-01-12,Gaming,14376,660,52,78,790,REF00103,Facebook,2026-01-12 13:00:00,370,CUST5083,TXN00103,2026-01-14 00:00:00,19,17,2,88956.01,Gaming Headset,Gaming
CAM001,Festive Picks,CR002,Ananya Sharma,Fashion,2026-04-14,Electronics,18675,579,66,67,712,REF00104,Direct,2026-04-14 20:00:00,461,CUST4577,TXN00104,2026-04-23 00:00:00,16,15,1,68102.23,Smartwatch,Electronics
CAM058,Summer Launch,CR010,Diya Joshi,Lifestyle,2026-05-21,Gaming,8841,470,44,30,544,REF00105,YouTube,2026-05-21 15:00:00,304,CUST2484,TXN00105,2026-05-28 00:00:00,12,9,3,15887.15,Travel Backpack,Travel
CAM022,Holiday Offers,CR004,Isha Verma,Beauty,2026-02-23,Fitness,9982,323,26,27,376,REF00106,Email,2026-02-23 13:00:00,170,CUST9506,TXN00106,2026-02-26 00:00:00,13,10,3,9728.94,Skincare Kit,Beauty
CAM028,Back to College,CR006,Meera Nair,Travel,2026-01-01,Fashion,6151,184,18,20,222,REF00107,YouTube,2026-01-01 22:00:00,138,CUST4108,TXN00107,2026-01-10 00:00:00,6,6,0,23056.0,Coffee Maker,Home
CAM001,Premium Picks,CR003,Rohan Kapoor,Tech,2026-03-30,Home,7971,448,53,49,550,REF00108,YouTube,2026-03-30 13:00:00,287,CUST1182,TXN00108,2026-04-04 00:00:00,19,17,2,45686.48,Wireless Earbuds,Electronics
CAM023,Creator Spotlight,CR011,Aditya Deshmukh,Tech,2026-05-30,Food,7012,385,32,38,455,REF00109,Direct,2026-05-30 19:00:00,214,CUST4797,TXN00109,2026-06-04 00:00:00,2,2,0,4641.3,Protein Powder,Fitness
CAM039,Weekend Flash,CR006,Meera Nair,Travel,2026-04-16,Gaming,6802,190,25,19,234,REF00110,YouTube,2026-04-16 17:00:00,148,CUST8417,TXN00110,2026-04-21 00:00:00,5,4,1,31986.95,Smartwatch,Electronics
